CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 106.828125 1771020742.0210
MEM 106.828125 1771020742.1212
MEM 106.828125 1771020742.2215
MEM 106.828125 1771020742.3217
MEM 106.828125 1771020742.4219
MEM 106.828125 1771020742.5221
MEM 106.828125 1771020742.6224
MEM 106.832031 1771020742.7226
MEM 106.835938 1771020742.8228
MEM 106.835938 1771020742.9230
MEM 106.835938 1771020743.0232
MEM 106.835938 1771020743.1235
MEM 106.839844 1771020743.2237
MEM 106.839844 1771020743.3239
MEM 106.839844 1771020743.4241
MEM 106.839844 1771020743.5243
MEM 106.839844 1771020743.6245
MEM 106.843750 1771020743.7247
MEM 106.843750 1771020743.8250
MEM 106.843750 1771020743.9251
MEM 106.843750 1771020744.0254
MEM 106.847656 1771020744.1257
MEM 106.847656 1771020744.2259
MEM 106.847656 1771020744.3262
MEM 106.847656 1771020744.4264
MEM 106.847656 1771020744.5267
MEM 106.847656 1771020744.6269
MEM 106.847656 1771020744.7271
MEM 106.851562 1771020744.8274
MEM 106.855469 1771020744.9277
MEM 106.855469 1771020745.0278
MEM 106.855469 1771020745.1280
MEM 106.855469 1771020745.2283
MEM 106.859375 1771020745.3285
MEM 106.859375 1771020745.4287
MEM 106.859375 1771020745.5289
MEM 106.859375 1771020745.6291
MEM 106.859375 1771020745.7293
MEM 106.859375 1771020745.8295
MEM 106.859375 1771020745.9297
MEM 106.863281 1771020746.0300
MEM 106.863281 1771020746.1302
MEM 106.867188 1771020746.2304
MEM 106.867188 1771020746.3306
MEM 106.867188 1771020746.4309
MEM 106.867188 1771020746.5310
MEM 106.871094 1771020746.6313
MEM 106.871094 1771020746.7315
MEM 106.871094 1771020746.8317
MEM 106.871094 1771020746.9320
MEM 106.871094 1771020747.0322
MEM 106.871094 1771020747.1324
MEM 106.871094 1771020747.2326
MEM 106.871094 1771020747.3329
MEM 106.878906 1771020747.4330
MEM 106.878906 1771020747.5333
MEM 106.878906 1771020747.6335
MEM 106.878906 1771020747.7336
MEM 106.882812 1771020747.8339
MEM 106.882812 1771020747.9341
MEM 106.882812 1771020748.0343
MEM 106.882812 1771020748.1345
MEM 106.882812 1771020748.2347
MEM 106.886719 1771020748.3349
MEM 106.886719 1771020748.4352
MEM 106.886719 1771020748.5354
MEM 106.886719 1771020748.6356
MEM 106.886719 1771020748.7358
MEM 106.886719 1771020748.8360
MEM 106.894531 1771020748.9362
MEM 106.894531 1771020749.0365
MEM 106.898438 1771020749.1367
MEM 106.898438 1771020749.2369
MEM 106.898438 1771020749.3370
MEM 106.898438 1771020749.4373
MEM 106.902344 1771020749.5375
MEM 106.902344 1771020749.6377
MEM 106.902344 1771020749.7378
MEM 106.902344 1771020749.8380
MEM 106.906250 1771020749.9382
MEM 106.906250 1771020750.0384
MEM 106.906250 1771020750.1386
MEM 106.906250 1771020750.2388
MEM 106.906250 1771020750.3390
MEM 106.906250 1771020750.4392
MEM 106.906250 1771020750.5395
MEM 106.906250 1771020750.6398
MEM 106.910156 1771020750.7400
MEM 106.914062 1771020750.8403
MEM 106.914062 1771020750.9405
