CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 106.585938 1767720150.9716
MEM 106.585938 1767720151.0718
MEM 106.585938 1767720151.1720
MEM 106.585938 1767720151.2723
MEM 106.585938 1767720151.3725
MEM 106.585938 1767720151.4728
MEM 106.585938 1767720151.5731
MEM 106.585938 1767720151.6733
MEM 106.585938 1767720151.7736
MEM 106.585938 1767720151.8738
MEM 106.585938 1767720151.9741
MEM 106.585938 1767720152.0745
MEM 106.585938 1767720152.1748
MEM 106.585938 1767720152.2751
MEM 106.585938 1767720152.3754
MEM 106.585938 1767720152.4758
MEM 106.585938 1767720152.5761
MEM 106.585938 1767720152.6764
MEM 106.585938 1767720152.7767
MEM 106.585938 1767720152.8770
MEM 106.585938 1767720152.9773
MEM 106.585938 1767720153.0776
MEM 106.585938 1767720153.1779
MEM 106.585938 1767720153.2781
MEM 106.585938 1767720153.3784
MEM 106.585938 1767720153.4786
MEM 106.585938 1767720153.5789
MEM 106.585938 1767720153.6792
MEM 106.585938 1767720153.7795
MEM 106.585938 1767720153.8798
MEM 106.585938 1767720153.9800
MEM 106.585938 1767720154.0803
MEM 106.585938 1767720154.1805
MEM 106.585938 1767720154.2807
MEM 106.585938 1767720154.3810
MEM 106.585938 1767720154.4812
MEM 106.585938 1767720154.5814
MEM 106.585938 1767720154.6816
MEM 106.585938 1767720154.7820
MEM 106.585938 1767720154.8823
MEM 106.585938 1767720154.9826
MEM 106.585938 1767720155.0828
MEM 106.585938 1767720155.1831
MEM 106.585938 1767720155.2833
MEM 106.585938 1767720155.3835
MEM 106.585938 1767720155.4838
MEM 106.585938 1767720155.5840
MEM 106.585938 1767720155.6842
MEM 106.585938 1767720155.7845
MEM 106.710938 1767720155.8848
MEM 106.710938 1767720155.9851
MEM 106.710938 1767720156.0854
MEM 106.710938 1767720156.1857
MEM 106.710938 1767720156.2859
MEM 106.710938 1767720156.3862
MEM 106.710938 1767720156.4865
MEM 106.710938 1767720156.5868
MEM 106.710938 1767720156.6871
MEM 106.710938 1767720156.7874
MEM 106.710938 1767720156.8877
MEM 106.710938 1767720156.9880
MEM 106.710938 1767720157.0883
MEM 106.710938 1767720157.1886
MEM 106.710938 1767720157.2889
MEM 106.710938 1767720157.3892
MEM 106.710938 1767720157.4895
MEM 106.710938 1767720157.5898
MEM 106.710938 1767720157.6901
MEM 106.710938 1767720157.7904
MEM 106.710938 1767720157.8907
MEM 106.710938 1767720157.9910
MEM 106.710938 1767720158.0913
MEM 106.710938 1767720158.1916
MEM 106.710938 1767720158.2920
MEM 106.710938 1767720158.3923
MEM 106.710938 1767720158.4926
MEM 106.710938 1767720158.5929
MEM 106.710938 1767720158.6932
MEM 106.710938 1767720158.7935
MEM 106.710938 1767720158.8938
MEM 106.710938 1767720158.9941
MEM 106.710938 1767720159.0944
MEM 106.710938 1767720159.1947
MEM 106.710938 1767720159.2951
MEM 106.710938 1767720159.3954
MEM 106.710938 1767720159.4957
MEM 106.710938 1767720159.5960
MEM 106.710938 1767720159.6964
MEM 106.710938 1767720159.7967
MEM 106.710938 1767720159.8970
MEM 106.710938 1767720159.9973
MEM 106.710938 1767720160.0976
MEM 106.710938 1767720160.1979
MEM 106.710938 1767720160.2982
MEM 106.710938 1767720160.3985
MEM 106.710938 1767720160.4987
MEM 106.710938 1767720160.5989
MEM 106.710938 1767720160.6992
MEM 106.710938 1767720160.7994
MEM 106.710938 1767720160.8996
MEM 106.710938 1767720160.9999
MEM 106.710938 1767720161.1001
MEM 106.710938 1767720161.2003
MEM 106.710938 1767720161.3005
MEM 106.710938 1767720161.4007
MEM 106.710938 1767720161.5010
MEM 106.710938 1767720161.6012
MEM 106.710938 1767720161.7014
MEM 106.710938 1767720161.8016
MEM 106.710938 1767720161.9019
MEM 106.710938 1767720162.0021
MEM 105.757812 1767720162.1024
