CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 106.468750 1771286385.0545
MEM 106.468750 1771286385.1547
MEM 106.472656 1771286385.2550
MEM 106.480469 1771286385.3552
MEM 106.484375 1771286385.4554
MEM 106.488281 1771286385.5556
MEM 106.492188 1771286385.6558
MEM 106.500000 1771286385.7561
MEM 106.503906 1771286385.8563
MEM 106.507812 1771286385.9565
MEM 106.507812 1771286386.0567
MEM 106.511719 1771286386.1570
MEM 106.515625 1771286386.2572
