CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 106.097656 1771351925.6215
MEM 106.101562 1771351925.7218
MEM 106.101562 1771351925.8221
MEM 106.105469 1771351925.9225
MEM 106.109375 1771351926.0229
MEM 106.113281 1771351926.1232
MEM 106.113281 1771351926.2235
MEM 106.117188 1771351926.3238
MEM 106.121094 1771351926.4242
MEM 106.121094 1771351926.5245
MEM 106.125000 1771351926.6248
MEM 106.128906 1771351926.7252
MEM 106.132812 1771351926.8254
MEM 106.136719 1771351926.9258
MEM 106.136719 1771351927.0262
MEM 106.148438 1771351927.1265
MEM 106.152344 1771351927.2268
MEM 106.156250 1771351927.3271
MEM 106.160156 1771351927.4274
MEM 106.164062 1771351927.5277
MEM 106.167969 1771351927.6280
MEM 106.171875 1771351927.7283
MEM 106.175781 1771351927.8286
MEM 106.179688 1771351927.9291
MEM 106.187500 1771351928.0294
MEM 106.191406 1771351928.1297
MEM 106.195312 1771351928.2300
MEM 106.199219 1771351928.3304
MEM 106.203125 1771351928.4307
MEM 106.207031 1771351928.5310
MEM 106.210938 1771351928.6313
MEM 106.214844 1771351928.7316
MEM 106.218750 1771351928.8319
MEM 106.222656 1771351928.9322
MEM 106.226562 1771351929.0325
MEM 106.230469 1771351929.1328
MEM 106.230469 1771351929.2331
MEM 106.253906 1771351929.3334
MEM 106.261719 1771351929.4337
MEM 106.265625 1771351929.5341
MEM 106.269531 1771351929.6344
MEM 106.273438 1771351929.7347
MEM 106.281250 1771351929.8350
MEM 106.285156 1771351929.9353
MEM 106.289062 1771351930.0357
MEM 106.289062 1771351930.1361
MEM 106.292969 1771351930.2364
MEM 106.300781 1771351930.3367
MEM 106.304688 1771351930.4370
MEM 106.308594 1771351930.5374
MEM 106.312500 1771351930.6376
MEM 106.316406 1771351930.7380
MEM 106.316406 1771351930.8383
MEM 106.320312 1771351930.9386
MEM 106.324219 1771351931.0389
MEM 106.328125 1771351931.1392
MEM 106.332031 1771351931.2395
MEM 106.335938 1771351931.3399
MEM 106.339844 1771351931.4402
MEM 106.343750 1771351931.5405
MEM 106.343750 1771351931.6408
MEM 106.347656 1771351931.7412
MEM 106.351562 1771351931.8415
MEM 106.355469 1771351931.9418
MEM 106.359375 1771351932.0421
MEM 106.363281 1771351932.1424
MEM 106.367188 1771351932.2427
MEM 106.371094 1771351932.3431
MEM 106.375000 1771351932.4433
MEM 106.375000 1771351932.5436
MEM 106.378906 1771351932.6439
MEM 106.382812 1771351932.7443
