CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 106.656250 1764018057.1542
MEM 106.656250 1764018057.2545
MEM 106.656250 1764018057.3549
MEM 106.656250 1764018057.4552
MEM 106.656250 1764018057.5555
MEM 106.656250 1764018057.6558
MEM 106.656250 1764018057.7561
MEM 106.656250 1764018057.8565
MEM 106.656250 1764018057.9568
MEM 106.656250 1764018058.0571
MEM 106.656250 1764018058.1574
MEM 106.656250 1764018058.2578
MEM 106.656250 1764018058.3581
MEM 106.656250 1764018058.4584
MEM 106.781250 1764018058.5588
MEM 106.781250 1764018058.6591
MEM 106.781250 1764018058.7594
MEM 106.781250 1764018058.8598
MEM 106.781250 1764018058.9601
MEM 106.781250 1764018059.0604
MEM 106.781250 1764018059.1608
MEM 106.781250 1764018059.2611
MEM 106.781250 1764018059.3614
MEM 106.781250 1764018059.4618
MEM 106.781250 1764018059.5621
MEM 106.781250 1764018059.6624
MEM 106.781250 1764018059.7627
MEM 106.781250 1764018059.8631
MEM 106.781250 1764018059.9634
MEM 106.781250 1764018060.0637
MEM 106.781250 1764018060.1640
MEM 106.781250 1764018060.2643
MEM 106.781250 1764018060.3647
MEM 106.781250 1764018060.4650
MEM 106.781250 1764018060.5654
MEM 106.781250 1764018060.6657
MEM 106.781250 1764018060.7660
MEM 106.781250 1764018060.8663
MEM 106.781250 1764018060.9667
MEM 106.781250 1764018061.0670
MEM 106.781250 1764018061.1673
MEM 106.781250 1764018061.2677
MEM 106.781250 1764018061.3680
MEM 106.781250 1764018061.4683
MEM 106.781250 1764018061.5686
MEM 106.781250 1764018061.6689
MEM 106.781250 1764018061.7692
MEM 106.781250 1764018061.8695
MEM 106.781250 1764018061.9699
MEM 106.781250 1764018062.0702
MEM 106.781250 1764018062.1707
MEM 106.781250 1764018062.2710
MEM 106.781250 1764018062.3713
MEM 106.781250 1764018062.4717
MEM 106.781250 1764018062.5720
MEM 106.781250 1764018062.6723
MEM 106.781250 1764018062.7727
MEM 106.781250 1764018062.8730
MEM 106.781250 1764018062.9734
MEM 106.781250 1764018063.0738
MEM 106.781250 1764018063.1741
MEM 106.781250 1764018063.2744
MEM 106.781250 1764018063.3748
MEM 106.781250 1764018063.4751
MEM 106.781250 1764018063.5754
MEM 106.781250 1764018063.6758
MEM 106.781250 1764018063.7761
MEM 106.781250 1764018063.8764
MEM 106.781250 1764018063.9768
MEM 106.781250 1764018064.0771
MEM 106.781250 1764018064.1774
MEM 106.781250 1764018064.2777
MEM 106.781250 1764018064.3780
MEM 106.781250 1764018064.4784
MEM 106.781250 1764018064.5787
MEM 106.781250 1764018064.6790
MEM 106.781250 1764018064.7793
MEM 106.781250 1764018064.8797
MEM 106.781250 1764018064.9800
MEM 106.781250 1764018065.0802
MEM 106.781250 1764018065.1805
MEM 106.781250 1764018065.2809
MEM 106.781250 1764018065.3812
MEM 106.781250 1764018065.4815
MEM 106.781250 1764018065.5818
MEM 106.781250 1764018065.6821
MEM 106.781250 1764018065.7824
MEM 106.781250 1764018065.8828
MEM 106.781250 1764018065.9831
MEM 106.781250 1764018066.0834
MEM 106.781250 1764018066.1838
MEM 106.781250 1764018066.2841
MEM 106.781250 1764018066.3844
MEM 106.781250 1764018066.4847
MEM 106.781250 1764018066.5850
MEM 106.906250 1764018066.6854
MEM 106.906250 1764018066.7857
MEM 106.906250 1764018066.8860
MEM 106.906250 1764018066.9863
MEM 106.906250 1764018067.0867
MEM 105.906250 1764018067.1870
